"Timestamp","Please select the category of which you most identify with.","Please select your area of study. (If you have multiple areas of study, please select all areas that you are involved in.)","How often do you intentionally use generative AI? ","Which generative AI do you typically use? (If none of the options listed apply to you, please select ""Other"".)","What is your broad use of generative AI?","What are your typical uses of generative AI in an academic or career setting?","Should students be allowed to use AI for their assignments and tests? Please rate your comfortability.","Should instructors be allowed to use AI for grading and creating assignments? Please rate your comfortability.","Using the options below, please select if you Agree or Disagree with the following prompt: ""I feel confident in the accuracy of the output that generative AI provides.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I plan on incorporating generative AI into my daily academic workload.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I plan on incorporating generative AI into my future career workload.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""The use of generative AI in higher education is lowering the critical thinking skills of students.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""The skillful use of generative AI should be taught in higher education.""","Please rate how you feel about the following statement: ""I would not be opposed to attending/teaching a course that explains how to skillfully use AI to its fullest advantage.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""Generative AI is going to be unavoidable in the future for most careers.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I feel anxious about the growing capabilities of generative AI.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I have ethical concerns about the increasing use of generative AI in both academia and workforce.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious that AI will make my career obsolete.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious about the spread of misinformation due to generative AI.""","Using the options below, please select if you Agree or Disagree with the following prompt: ""I am anxious about the environment concerns that AI causes.""","Do you think AI is biased? If so, how does that make you feel about it's increasing use in daily life?","Should the software companies that develop generative AI be regulated? If so, how and why?","Should the consumers of generative AI be regulated? (e.g. Privacy Laws, Fair Use) If so, how and why? ","What tasks do you think AI is good at? What tasks do you think AI could improve on?","Scenario: You are a pedestrian walking on the sidewalk. On the road, to your right, there is a self driving car making a right turn. On the cross walk, there is a couple walking their dog. The car does not recognize the couple on the cross walk and proceeds to hit them. Both individuals were seriously injured. 

Who should be held accountable for the injuries of those pedestrians? ","Scenario: A college student named is preparing for their senior art show. They use an AI image generator to create a series of digital portraits inspired by famous modern paintings. The AI model they use was trained on millions of online images, including copyrighted artworks, without the explicit permission of the artists or museums.
The student modifies the AI-generated portraits by adding their own personal, artistic touches. Their final pieces are displayed at the university gallery and shared online. The exhibition gains a lot of attention.
A week later, one of the original artists whose painting was used in the AI’s training data contacts the student, claiming that their piece is too similar to his work and violates his copyright. The student argues that their artwork is protected under ""fair use"" because they transformed the original image using AI and their own edits.
Is it ethical for the student to claim that the artwork is theirs and protected under ""fair use""?","Dr. Professor, a professor at a large university, teaches a graduate-level seminar on public policy. One of her students is known for being thoughtful but struggles with academic writing in English, their second language.
For the final project, students must write a 20-page research paper analyzing the impact of artificial intelligence on employment trends. The student uses a generative AI tool to help him organize his thoughts, summarize academic articles, and improve the clarity of their writing. They carefully check the AI’s work for accuracy and ensures that all cited sources are real and properly referenced.
When the student submits his paper, Dr. Professor is impressed by its clarity and coherence, much more than their previous work. She begins to suspect that they might have relied too heavily on AI. University policy allows “limited” AI assistance for brainstorming or proofreading but prohibits AI-generated writing from being submitted as original work. 
Should Dr. Professor accuse the student of academic dishonesty and report the student to the Academic Dean?"
"2025/10/16 1:12:40 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","Claude","","Helping with code development (debugging code, generating code).","","","Disagree","Neutral","Agree","Agree","Agree","Agree","Strongly agree","Agree","Neutral","Disagree","Strongly agree","Agree","I do think there is a bias with AI. It does not worry me too much though.","I think there needs to be privacy regulations on AI. This will probably be implemented by the government.","","","The person in the car?","I believe so but if it was barely changed maybe not.","Yes/no I think it depends on if the student used it to write actual parts but if it was just proof reading like checking spelling mistakes then no."
"2025/10/23 12:06:34 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT","Academic Learning.","Searching for answers/researching questions.","AI as a study tool (Use AI to prepare, review, and study).","AI as a study tool (Use AI to prepare, review, and study).","Neutral","Neutral","Neutral","Agree","Neutral","Agree","Agree","Agree","Neutral","Agree","Agree","Agree","I do think AI is biased. An the increased use of AI could proliferate these biases. ","I think students use of AI should be regulated in most cases, by professors. In the real world I think the companies producing AI products should be regulated I guess by the government. ","In an academic setting yes, I think that teachers should limit and discourage the use of AI in academic setting, aside from a few edge cases, so that we can make sure students are developing critical thinking that seems to be discouraged by constant use of AI. ","I think AI is good at idea generation and inspiration. AI is not always the best at coding or helping with logical problem solving. ","The driver of the car or if there is none, the company who put the car on the road. ","I think it's ok for the student to claim the artwork as theirs, especially since they made their own edits. I think the artist should be the one controlling if AI can train on their artwork. ","""The student uses a generative AI tool to help him organize his thoughts, summarize academic articles, and improve the clarity of their writing."" This description does not seem to me that they are generating the essay and instead are using it as assistance. I think this situation is really up for interpretation. "
"2025/10/23 12:06:57 PM EST","Faculty","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT;CoPilot;Claude;Gemini","Work.","Content Creation: generating text/images/videos/music.","AI Output Evaluated (Use as instructed; cite AI-content).","AI Output Evaluated (Use as instructed; cite AI-content).","Agree","Agree","Strongly Agree","Strongly Agree","Agree","Neutral","Strongly agree","Strongly agree","Agree","Strongly agree","Agree","Agree","Yes. Makes me nervous about the future holds. ","Yes, they should pay back the content creators that they are training their models on. ","No porn. No violence. Any resemblance to a real person should be illegal. ","Content creation. Creative endeavors. ","The car company and the AI producer. ","Not fair use. The AI company should pay if they have the license to the data they used for training. ","No. They should talk to the student and run the submitted work through AI detection tools. "
"2025/10/23 12:08:29 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT;Claude","Academic Learning.","Using it for educational purposes (creating a study guide, creating a quiz).","Idea Generation (No AI content in submission).","No AI (AI must not be used).","Agree","Neutral","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Agree","Neutral","Agree","Strongly agree","Yes, I do think AI is biased. The bias of AI does concern me about its increasing use in daily life since most careers will utilize AI in some way, shape, or form. It allows for a different entry point for biases to enter our academics and careers.","Yes, I think the software companies should regulate AI to gauge misinformation and harmful applications of AI.","Yes, I think the consumers of AI should be regulated, especially concerning privacy laws and ethical concerns. ","I think AI is good at debugging and creating code and content creation of pictures and videos, it's becoming scarily accurate. I think it could improve on it's writing skills because it is very easy to detect what is being written by AI.","The company who created or services the AI should be held accountable.","I do not think it is ethical for the student to claim that the artwork is theirs because I believe that AI regurgitates artwork that it has already seen, so the artwork showcased in this scenario is a regurgitation of the original artist's work.","I don't think they should be reported to the Academic Dean because AI was used for clarity, not for idea generation or the use of AI's ideas. "
"2025/10/23 12:09:12 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;CoPilot;Claude;Gemini","Academic Learning.","Using it for educational purposes (creating a study guide, creating a quiz).","AI as a study tool (Use AI to prepare, review, and study).","AI Assisted Editing (Include original work in appendix).","Agree","Agree","Strongly Agree","Strongly Agree","Strongly agree","Strongly agree","Agree","Disagree","Agree","Agree","Neutral","Neutral","In some ways yes and no in others. I think generally it isn't biased, and the way it is set up is to be a general assistant, not bias your thinking. ","I'm not sure, I think some sort of regulations are necessary to promote responsible use/creation of AI, however there should be able to keep innovating. ","I don't think heavily regulated, but I think it's more on the AI companies to create a product that can't be easily misused. ","It has gotten much better at a lot of tasks since I have been using it. Code generation is a clear one. It's also great at breaking complex ideas down into more digestible information. ","Company that created the self driving car. ","I think it depends on how much the work was changed, it seems subjective to me. ","Yes, I think the student could have been better about reaching out to the professor for help. "
"2025/10/23 12:10:11 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;Claude","Work.","Helping with code development (debugging code, generating code).","AI-Assisted Editing (Include original work in appendix).","AI Assisted Editing (Include original work in appendix).","Neutral","Strongly Agree","Strongly Agree","Agree","Agree","Strongly agree","Strongly agree","Strongly agree","Neutral","Agree","Strongly agree","Neutral","Yeah, I think AI does have some bias, especially toward people from outside the U.S. or Western cultures. As someone from another country, I do notice that bias sometimes, and it can feel a bit off. Still, I use it regularly since I work within U.S. culture, and it actually helps me navigate and adapt better in that environment.","You can never be completely sure what kind of code these systems might generate, and in some cases, it could be harmful like accidentally deleting entire databases or causing serious system failures.","This is a tricky question and even the answer is yes, it is impossible to regulate on the open source end.","Generating code, writing, images, videos. AI can improve on making systems.","It is the company's fault. If the AI didn't detect, it should have detected the crosswalk. ","Well I am not a fan of the concept fair use. If it is out in the internet, especially in the open web, then it will get trained or somebody sees it and gets inspired and make their own. Human's artistic expressions are never unique. It is always influenced.","I think there should be no AI for brainstroming but AI can be used to generate writing. The idea should be original, wee thought and that is important. Writing is just a medium and unnecessary."
"2025/10/23 12:11:11 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;Claude","Academic Learning.","Helping with code development (debugging code, generating code).","Idea Generation (No AI content in submission).","AI Assisted Editing (Include original work in appendix).","Disagree","Disagree","Agree","Agree","Strongly agree","Strongly agree","Agree","Agree","Agree","Disagree","Agree","Agree","I do think AI is biased in certain aspects. It doesn't concern me that much because I am not using it for anything that drastically impacts my life.","Yes I think that there should be laws on the information that AI is collecting on the users. This should be done probably by a government agency. ","I think in some ways yes. If a student is using AI an school has the right to regulate that the student isn't just submitting AI. ","I think AI is good at summarizing texts and creating study guides. I however think it still struggles with coding and math.","I think if there was a human behind the wheel of the car it was the humans fault for not overriding the car and paying enough attention to their surroundings. If there was no one behind the wheel like it was a taxi then its the car companies fault. ","I think so because it was edited and they added their own touch but I also don't know enough about it.","I think it depends. If they student used AI to actually change parts of the sentences and heavily edit it then yes it should be reported. If the student just used it to spell check and fix grammatical errors then no."
"2025/10/23 12:11:18 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Weekly.","ChatGPT;CoPilot;Claude","Academic Learning.","Searching for answers/researching questions.","Full AI (Use AI fully in the assessment).","AI Assisted Editing (Include original work in appendix).","Disagree","Agree","Strongly Agree","Strongly Disagree","Strongly agree","Agree","Strongly agree","Neutral","Agree","Disagree","Agree","Agree","Yes, I believe AI and any other algorithm can be bias since it was programmed by a person that have their own biases. I am somewhat concerned because people tend assume that AI is neutral in all its output.","I do not know what they should be regulated on since all it can do is help them code in that aspect.","I mean yes, there has been a lot of people using AI to create songs from singers voices and making a profit off of it which is unfair. So, in those aspects I do see a need for regulation.","I believe AI is good at automating task and summarizing information. AI could use work on what it is remembering and not trying to incorporate past information into current conversations.","The self-driving car.","I do not believe so since the artworks are very similar. The student should have only used the generative images as inspiration and nothing more.","No, since it appears the student created all the ideas themselves and had the AI help with clarity in their writing not create the ideas and then write the paper."
"2025/10/23 12:12:47 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics)","Daily.","ChatGPT;CoPilot;Claude","Academic Learning.","Searching for answers/researching questions.","AI-Assisted Editing (Include original work in appendix).","AI Assisted Editing (Include original work in appendix).","Neutral","Agree","Agree","Neutral","Strongly agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","Neutral","Neutral","If prompted correctly, I believe AI is generally unbiased. It searches for the most statistically accurate answers to questions and, for the most part, its reasoning is sound. ","Some regulations seems reasonable. However, I'm weary to encourage government intervention in these companies as it might limit certain freedoms. ","Some regulation is to be expected, but I believe minimal is needed. Once again, this feels like we're walking into territory that might limit certain rights. ","AI is great at research, critical thinking, planning, development (for the most part), and even creative thinking. AI lacks strong mathematical reasoning and unless prompted correctly, often biases it's answers towards your wording (as in, it can provide ""softer"" answers that might reaffirm something you've asked it, rather than responding critically).","The manufacturer(s) of the vehicle. ","This feels ethically wrong. While the LLM may be protected under certain laws, I would say the AI should be regulated a bit more tightly to exclude works that are copyrighted. This feels like a pathway to ""dulling"" creativity and encouraging laziness, which should not be how AI is used.","No. The student used AI as intended: an ""aid"" for their writing. AI will exponentially increase in its relevance and use as an aid. This situation will become more and more common, and that's okay, as it's simply part of our world getting more used to these tools. This student used AI exactly as intended."
"2025/10/23 12:14:04 PM EST","Student","STEM (Science, Technology, Engineering, Mathematics);Humanities (Language, English, History, etc)","Daily.","ChatGPT;Claude;Deepseek, Notebook LLM","Work.","Searching for answers/researching questions.","AI Output Evaluated (Use as instructed; cite AI-content).","Idea Generation (No AI content in submission).","Disagree","Disagree","Agree","Strongly Agree","Neutral","Disagree","Agree","Disagree","Disagree","Disagree","Neutral","Agree","Yes, but so are people. You have to take a lot of things with a grain of salt and this is just another one of those things.","The only thing I would say is if information is being stolen, meaning, not information that's on the internet for anyone to access, but rather if companies are breaching paywalls to get information then that should be regulated. ","Sure, I would say I would prefer if companies didn't have access to any data I may feed into an AI, however we would have to regulate a lot more than just AI, there are many software companies that sell our data, what about them?","Any kind of autocompletion, summary task AI is good at. AI could improve at talking, meaning less of the positive feedback loops and things like that.","Whatever person is in the vehicle, I'm thinking about Tesla, they have full autopilot but a person has to sit in the drivers seat, so whoever's sitting in that seat. If it's a situation where no one is in the driver's seat, then the company would be at fault.","Assuming that when being trained on this data a paywall of some kind was not broken, then sure I don't see why the student couldn't claim it as theirs, after all art is subjective.","The professor shouldn't feel bad if they chose to submit it. However, I think the student should have talked with the professor beforehand."
